"","year","gender","agegroup","measurement","value"
"238",2012,"Male","[25:30)","artsize",15
"239",2014,"Male","[25:30)","artsize",19
"240",2016,"Male","[25:30)","artsize",28
"241",1999,"Female","[30:35)","artsize",0
"242",2000,"Female","[30:35)","artsize",0
"243",2002,"Female","[30:35)","artsize",0
"244",2003,"Female","[30:35)","artsize",0
"245",2004,"Female","[30:35)","artsize",0
"246",2006,"Female","[30:35)","artsize",24
"247",2007,"Female","[30:35)","artsize",40
"248",2009,"Female","[30:35)","artsize",54
"249",2011,"Female","[30:35)","artsize",68
"250",2012,"Female","[30:35)","artsize",86
"251",2014,"Female","[30:35)","artsize",117
"252",2016,"Female","[30:35)","artsize",130
"253",1999,"Male","[30:35)","artsize",0
"254",2000,"Male","[30:35)","artsize",0
"255",2002,"Male","[30:35)","artsize",0
"256",2003,"Male","[30:35)","artsize",0
"257",2004,"Male","[30:35)","artsize",0
"258",2006,"Male","[30:35)","artsize",5
"259",2007,"Male","[30:35)","artsize",8
"260",2009,"Male","[30:35)","artsize",11
"261",2011,"Male","[30:35)","artsize",16
"262",2012,"Male","[30:35)","artsize",27
"263",2014,"Male","[30:35)","artsize",43
"264",2016,"Male","[30:35)","artsize",50
"265",1999,"Female","[35:40)","artsize",0
"266",2000,"Female","[35:40)","artsize",0
"267",2002,"Female","[35:40)","artsize",0
"268",2003,"Female","[35:40)","artsize",0
"269",2004,"Female","[35:40)","artsize",0
"270",2006,"Female","[35:40)","artsize",25
"271",2007,"Female","[35:40)","artsize",32
"272",2009,"Female","[35:40)","artsize",56
"273",2011,"Female","[35:40)","artsize",66
"274",2012,"Female","[35:40)","artsize",88
"275",2014,"Female","[35:40)","artsize",164
"276",2016,"Female","[35:40)","artsize",181
"277",1999,"Male","[35:40)","artsize",0
"278",2000,"Male","[35:40)","artsize",0
"279",2002,"Male","[35:40)","artsize",0
"280",2003,"Male","[35:40)","artsize",0
"281",2004,"Male","[35:40)","artsize",0
"282",2006,"Male","[35:40)","artsize",12
"283",2007,"Male","[35:40)","artsize",16
